number,pokemon_name,main_type,secondary_type,region,attack,defense,capture_rate,resistance,weakness,poss_attacks
011,Metapod,Bug,,Kanto,45,80,25%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}","['Bug Bite', 'Tackle', 'Struggle']"
012,Butterfree,Bug,Flying,Kanto,167,137,12.5%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}","['Confusion', 'Struggle Bug', 'Bug Bite', 'Bug Buzz', 'Psychic', 'Signal Beam']"
013,Weedle,Bug,Poison,Kanto,63,50,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Bug Bite', 'Poison Sting', 'Struggle']"
014,Kakuna,Bug,Poison,Kanto,46,75,25%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Bug Bite', 'Poison Sting', 'Struggle']"
015,Beedrill,Bug,Poison,Kanto,169,130,12.5%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Infestation', 'Poison Jab', 'Bug Bite', 'Aerial Ace', 'Fell Stinger', 'Sludge Bomb', 'X-Scissor', 'Drill Run']"
016,Pidgey,Normal,Flying,Kanto,85,73,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
017,Pidgeotto,Normal,Flying,Kanto,117,105,25%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Steel Wing', 'Wing Attack', 'Aerial Ace', 'Air Cutter', 'Twister']"
018,Pidgeot,Normal,Flying,Kanto,166,154,12.5%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Air Slash', 'Steel Wing', 'Gust', 'Wing Attack', 'Aerial Ace', 'Brave Bird', 'Feather Dance', 'Hurricane', 'Air Cutter']"
019,Rattata,Normal,,Kanto,103,70,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']"
020,Raticate,Normal,,Kanto,161,139,20%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Bite', 'Quick Attack', 'Dig', 'Hyper Beam', 'Hyper Fang', 'Bite', 'Quick Attack', 'Crunch', 'Hyper Beam', 'Hyper Fang']"
021,Spearow,Normal,Flying,Kanto,112,60,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Peck', 'Quick Attack', 'Aerial Ace', 'Drill Peck', 'Sky Attack', 'Twister']"
022,Fearow,Normal,Flying,Kanto,182,133,20%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Peck', 'Steel Wing', 'Aerial Ace', 'Drill Run', 'Sky Attack', 'Twister']"
023,Ekans,Poison,,Kanto,110,97,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Acid', 'Poison Sting', 'Poison Fang', 'Sludge Bomb', 'Wrap', 'Gunk Shot']"
024,Arbok,Poison,,Kanto,167,153,20%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Acid', 'Bite', 'Dragon Tail', 'Acid Spray', 'Dark Pulse', 'Gunk Shot', 'Sludge Wave']"
025,Pikachu,Electric,,Kanto,112,96,20%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Quick Attack', 'Thunder Shock', 'Present', 'Discharge', 'Thunderbolt', 'Wild Charge', 'Surf', 'Thunder', 'Quick Attack', 'Thunder Shock', 'Discharge', 'Fly', 'Thunderbolt', 'Wild Charge', 'Charm', 'Thunder Shock', 'Flying Press', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Draining Kiss', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Meteor Mash', 'Play Rough', 'Thunder Punch']"
026,Raichu,Electric,,Kanto,193,151,10%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Charm', 'Spark', 'Thunder Shock', 'Volt Switch', 'Brick Break', 'Skull Bash', 'Thunder Punch', 'Wild Charge', 'Thunder', 'Spark', 'Thunder Shock', 'Volt Switch', 'Grass Knot', 'Psychic', 'Thunder Punch', 'Wild Charge']"
027,Sandshrew,Ground,,Kanto,126,120,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}","['Mud Shot', 'Scratch', 'Dig', 'Rock Slide', 'Sand Tomb', 'Rock Tomb', 'Metal Claw', 'Powder Snow', 'Blizzard', 'Gyro Ball', 'Night Slash']"
028,Sandslash,Ground,,Kanto,182,175,20%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}","['Metal Claw', 'Mud Shot', 'Bulldoze', 'Earthquake', 'Rock Tomb', 'Night Slash', 'Metal Claw', 'Powder Snow', 'Shadow Claw', 'Blizzard', 'Bulldoze', 'Gyro Ball', 'Ice Punch']"
029,Nidoran♀,Poison,,Kanto,86,89,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Bite', 'Poison Sting', 'Body Slam', 'Poison Fang', 'Sludge Bomb']"
030,Nidorina,Poison,,Kanto,117,120,25%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Bite', 'Poison Sting', 'Dig', 'Poison Fang', 'Sludge Bomb']"
031,Nidoqueen,Poison,Ground,Kanto,180,173,12.5%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Ground', 'Ice', 'Psychic', 'Water']}","['Bite', 'Poison Jab', 'Earth Power', 'Earthquake', 'Poison Fang', 'Sludge Wave', 'Stone Edge']"
032,Nidoran♂,Poison,,Kanto,105,76,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Peck', 'Poison Sting', 'Body Slam', 'Horn Attack', 'Sludge Bomb']"
033,Nidorino,Poison,,Kanto,137,111,25%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Poison Jab', 'Poison Sting', 'Dig', 'Horn Attack', 'Sludge Bomb']"
034,Nidoking,Poison,Ground,Kanto,204,156,12.5%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Ground', 'Ice', 'Psychic', 'Water']}","['Iron Tail', 'Poison Jab', 'Fury Cutter', 'Earth Power', 'Earthquake', 'Megahorn', 'Sand Tomb', 'Sludge Wave']"
035,Clefairy,Fairy,,Kanto,107,108,30%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}","['Pound', 'Zen Headbutt', 'Body Slam', 'Disarming Voice', 'Moonblast']"
036,Clefable,Fairy,,Kanto,178,162,10%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}","['Charge Beam', 'Charm', 'Zen Headbutt', 'Pound', 'Dazzling Gleam', 'Meteor Mash', 'Moonblast', 'Psychic']"
037,Vulpix,Fire,,Kanto,96,109,30%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Quick Attack', 'Body Slam', 'Flame Charge', 'Flamethrower', 'Weather Ball', 'Powder Snow', 'Zen Headbutt', 'Blizzard', 'Dark Pulse', 'Ice Beam', 'Weather Ball']"
038,Ninetales,Fire,,Kanto,169,190,10%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Feint Attack', 'Fire Spin', 'Ember', 'Heat Wave', 'Overheat', 'Psyshock', 'Solar Beam', 'Weather Ball', 'Fire Blast', 'Flamethrower', 'Charm', 'Feint Attack', 'Powder Snow', 'Blizzard', 'Dazzling Gleam', 'Ice Beam', 'Psyshock', 'Weather Ball']"
039,Jigglypuff,Normal,Fairy,Kanto,80,41,50%,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}","['Feint Attack', 'Pound', 'Dazzling Gleam', 'Disarming Voice', 'Gyro Ball', 'Body Slam', 'Play Rough']"
040,Wigglytuff,Normal,Fairy,Kanto,156,90,20%,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}","['Charm', 'Feint Attack', 'Pound', 'Dazzling Gleam', 'Hyper Beam', 'Ice Beam', 'Play Rough']"
041,Zubat,Poison,Flying,Kanto,83,73,50%,"{'62.5%': ['Fairy', 'Ground', 'Poison'], '39%': ['Bug', 'Fighting', 'Grass']}","{'160%': ['Electric', 'Ice', 'Psychic', 'Rock']}","['Bite', 'Quick Attack', 'Air Cutter', 'Poison Fang', 'Swift', 'Sludge Bomb']"
042,Golbat,Poison,Flying,Kanto,161,150,20%,"{'62.5%': ['Fairy', 'Ground', 'Poison'], '39%': ['Bug', 'Fighting', 'Grass']}","{'160%': ['Electric', 'Ice', 'Psychic', 'Rock']}","['Bite', 'Wing Attack', 'Air Cutter', 'Poison Fang', 'Shadow Ball', 'Ominous Wind']"
043,Oddish,Grass,Poison,Kanto,131,112,60%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Acid', 'Razor Leaf', 'Moonblast', 'Seed Bomb', 'Sludge Bomb']"
044,Gloom,Grass,Poison,Kanto,153,136,30%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Acid', 'Razor Leaf', 'Moonblast', 'Petal Blizzard', 'Sludge Bomb']"
045,Vileplume,Grass,Poison,Kanto,202,167,15%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Acid', 'Razor Leaf', 'Moonblast', 'Petal Blizzard', 'Sludge Bomb', 'Solar Beam']"
046,Paras,Bug,Grass,Kanto,121,99,40%,"{'62.5%': ['Electric', 'Fighting', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Bug', 'Ice', 'Poison', 'Rock'], '256%': ['Fire', 'Flying']}","['Bug Bite', 'Scratch', 'Cross Poison', 'Seed Bomb', 'X-Scissor']"
047,Parasect,Bug,Grass,Kanto,165,146,20%,"{'62.5%': ['Electric', 'Fighting', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Bug', 'Ice', 'Poison', 'Rock'], '256%': ['Fire', 'Flying']}","['Fury Cutter', 'Struggle Bug', 'Bug Bite', 'Cross Poison', 'Solar Beam', 'X-Scissor']"
048,Venonat,Bug,Poison,Kanto,100,100,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Bug Bite', 'Confusion', 'Poison Fang', 'Psybeam', 'Signal Beam']"
049,Venomoth,Bug,Poison,Kanto,179,143,20%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Confusion', 'Infestation', 'Bug Bite', 'Bug Buzz', 'Poison Fang', 'Psychic', 'Silver Wind']"
050,Diglett,Ground,,Kanto,109,78,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}","['Mud-Slap', 'Scratch', 'Mud Shot', 'Dig', 'Mud Bomb', 'Rock Tomb', 'Metal Claw', 'Mud-Slap', 'Dig', 'Mud Bomb', 'Rock Tomb']"
051,Dugtrio,Ground,,Kanto,167,134,20%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}","['Mud-Slap', 'Sucker Punch', 'Mud Shot', 'Earthquake', 'Mud Bomb', 'Stone Edge', 'Metal Claw', 'Mud-Slap', 'Earthquake', 'Iron Head', 'Mud Bomb']"
052,Meowth,Normal,,Kanto,92,78,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Bite', 'Scratch', 'Dark Pulse', 'Foul Play', 'Night Slash', 'Body Slam', 'Bite', 'Scratch', 'Dark Pulse', 'Foul Play', 'Night Slash', 'Metal Claw', 'Scratch', 'Dig', 'Gyro Ball', 'Night Slash']"
053,Persian,Normal,,Kanto,150,136,20%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Feint Attack', 'Scratch', 'Foul Play', 'Payback', 'Play Rough', 'Power Gem', 'Night Slash', 'Feint Attack', 'Scratch', 'Dark Pulse', 'Foul Play', 'Payback', 'Play Rough']"
054,Psyduck,Water,,Kanto,122,95,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Water Gun', 'Zen Headbutt', 'Aqua Tail', 'Cross Chop', 'Psybeam']"
055,Golduck,Water,,Kanto,191,162,20%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Confusion', 'Water Gun', 'Bubble Beam', 'Cross Chop', 'Hydro Pump', 'Ice Beam', 'Psychic', 'Synchronoise']"
056,Mankey,Fighting,,Kanto,148,82,50%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Karate Chop', 'Scratch', 'Brick Break', 'Cross Chop', 'Low Sweep']"
057,Primeape,Fighting,,Kanto,207,138,20%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Counter', 'Low Kick', 'Karate Chop', 'Close Combat', 'Ice Punch', 'Low Sweep', 'Night Slash', 'Cross Chop']"
058,Growlithe,Fire,,Kanto,136,93,30%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Bite', 'Ember', 'Body Slam', 'Flame Wheel', 'Flamethrower']"
059,Arcanine,Fire,,Kanto,227,166,10%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Fire Fang', 'Snarl', 'Thunder Fang', 'Bite', 'Crunch', 'Fire Blast', 'Flamethrower', 'Wild Charge', 'Bulldoze']"
060,Poliwag,Water,,Kanto,101,82,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bubble', 'Mud Shot', 'Body Slam', 'Bubble Beam', 'Mud Bomb']"
061,Poliwhirl,Water,,Kanto,130,123,25%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bubble', 'Mud Shot', 'Bubble Beam', 'Mud Bomb', 'Water Pulse', 'Scald']"
062,Poliwrath,Water,Fighting,Kanto,182,184,12.5%,"{'62.5%': ['Bug', 'Dark', 'Fire', 'Ice', 'Rock', 'Steel', 'Water']}","{'160%': ['Electric', 'Fairy', 'Flying', 'Grass', 'Psychic']}","['Bubble', 'Mud Shot', 'Rock Smash', 'Dynamic Punch', 'Hydro Pump', 'Ice Punch', 'Power-Up Punch', 'Scald', 'Submission']"
063,Abra,Psychic,,Kanto,195,82,50%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Charge Beam', 'Zen Headbutt', 'Psyshock', 'Shadow Ball', 'Signal Beam']"
064,Kadabra,Psychic,,Kanto,232,117,25%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Confusion', 'Psycho Cut', 'Dazzling Gleam', 'Psybeam', 'Shadow Ball']"
065,Alakazam,Psychic,,Kanto,271,167,10%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Confusion', 'Psycho Cut', 'Counter', 'Fire Punch', 'Focus Blast', 'Future Sight', 'Shadow Ball', 'Dazzling Gleam', 'Psychic']"
066,Machop,Fighting,,Kanto,137,82,50%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Karate Chop', 'Rock Smash', 'Low Kick', 'Brick Break', 'Cross Chop', 'Low Sweep']"
067,Machoke,Fighting,,Kanto,177,125,25%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Karate Chop', 'Low Kick', 'Brick Break', 'Dynamic Punch', 'Submission', 'Cross Chop']"
068,Machamp,Fighting,,Kanto,234,159,10%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Bullet Punch', 'Counter', 'Karate Chop', 'Close Combat', 'Cross Chop', 'Dynamic Punch', 'Heavy Slam', 'Rock Slide', 'Payback', 'Stone Edge', 'Submission']"
069,Bellsprout,Grass,Poison,Kanto,139,61,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Acid', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Wrap']"
070,Weepinbell,Grass,Poison,Kanto,172,92,25%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Acid', 'Bullet Seed', 'Razor Leaf', 'Power Whip', 'Seed Bomb', 'Sludge Bomb']"
071,Victreebel,Grass,Poison,Kanto,207,135,12.5%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Acid', 'Razor Leaf', 'Acid Spray', 'Leaf Blade', 'Leaf Tornado', 'Sludge Bomb', 'Solar Beam']"
072,Tentacool,Water,Poison,Kanto,97,149,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Fire', 'Ice', 'Poison', 'Steel', 'Water']}","{'160%': ['Electric', 'Ground', 'Psychic']}","['Bubble', 'Poison Sting', 'Bubble Beam', 'Water Pulse', 'Wrap']"
073,Tentacruel,Water,Poison,Kanto,166,209,20%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Fire', 'Ice', 'Poison', 'Steel', 'Water']}","{'160%': ['Electric', 'Ground', 'Psychic']}","['Acid', 'Poison Jab', 'Acid Spray', 'Blizzard', 'Hydro Pump', 'Sludge Wave']"
074,Geodude,Rock,Ground,Kanto,132,132,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}","['Rock Throw', 'Tackle', 'Dig', 'Rock Slide', 'Rock Tomb', 'Rock Throw', 'Volt Switch', 'Rock Slide', 'Rock Tomb', 'Thunderbolt']"
075,Graveler,Rock,Ground,Kanto,164,164,25%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}","['Mud-Slap', 'Rock Throw', 'Mud Shot', 'Dig', 'Rock Blast', 'Stone Edge', 'Rock Slide', 'Rock Throw', 'Volt Switch', 'Rock Blast', 'Stone Edge', 'Thunderbolt']"
076,Golem,Rock,Ground,Kanto,211,198,12.5%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}","['Mud-Slap', 'Rock Throw', 'Mud Shot', 'Ancient Power', 'Earthquake', 'Rock Blast', 'Stone Edge', 'Rock Throw', 'Volt Switch', 'Rollout', 'Rock Blast', 'Stone Edge', 'Wild Charge']"
077,Ponyta,Fire,,Kanto,170,127,40%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Tackle', 'Flame Charge', 'Flame Wheel', 'Stomp', 'Fire Blast', 'Low Kick', 'Psycho Cut', 'Play Rough', 'Psybeam', 'Swift']"
078,Rapidash,Fire,,Kanto,207,162,15%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Fire Spin', 'Incinerate', 'Low Kick', 'Ember', 'Drill Run', 'Fire Blast', 'Flame Charge', 'Heat Wave', 'Low Kick', 'Psycho Cut', 'Body Slam', 'Megahorn', 'Play Rough', 'Psychic']"
079,Slowpoke,Water,Psychic,Kanto,109,98,50%,"{'62.5%': ['Fighting', 'Fire', 'Ice', 'Psychic', 'Steel', 'Water']}","{'160%': ['Bug', 'Dark', 'Electric', 'Ghost', 'Grass']}","['Confusion', 'Water Gun', 'Psychic', 'Psyshock', 'Water Pulse', 'Confusion', 'Iron Tail', 'Psychic', 'Psyshock', 'Surf']"
080,Slowbro,Water,Psychic,Kanto,177,180,20%,"{'62.5%': ['Fighting', 'Fire', 'Ice', 'Psychic', 'Steel', 'Water']}","{'160%': ['Bug', 'Dark', 'Electric', 'Ghost', 'Grass']}","['Confusion', 'Water Gun', 'Ice Beam', 'Psychic', 'Water Pulse', 'Confusion', 'Poison Jab', 'Focus Blast', 'Psychic', 'Sludge Bomb']"
081,Magnemite,Electric,Steel,Kanto,165,121,50%,"{'62.5%': ['Bug', 'Dragon', 'Electric', 'Fairy', 'Grass', 'Ice', 'Normal', 'Psychic', 'Rock'], '39%': ['Flying', 'Poison', 'Steel']}","{'160%': ['Fighting', 'Fire'], '256%': ['Ground']}","['Spark', 'Thunder Shock', 'Discharge', 'Magnet Bomb', 'Thunderbolt']"
082,Magneton,Electric,Steel,Kanto,223,169,20%,"{'62.5%': ['Bug', 'Dragon', 'Electric', 'Fairy', 'Grass', 'Ice', 'Normal', 'Psychic', 'Rock'], '39%': ['Flying', 'Poison', 'Steel']}","{'160%': ['Fighting', 'Fire'], '256%': ['Ground']}","['Charge Beam', 'Spark', 'Thunder Shock', 'Discharge', 'Flash Cannon', 'Magnet Bomb', 'Zap Cannon']"
083,Farfetch'd,Normal,Flying,Kanto,124,115,30%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Air Slash', 'Fury Cutter', 'Cut', 'Aerial Ace', 'Air Cutter', 'Leaf Blade', 'Fury Cutter', 'Rock Smash', 'Brave Bird', 'Brick Break', 'Leaf Blade']"
084,Doduo,Normal,Flying,Kanto,158,83,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Peck', 'Quick Attack', 'Aerial Ace', 'Brave Bird', 'Drill Peck', 'Swift']"
085,Dodrio,Normal,Flying,Kanto,218,140,20%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Feint Attack', 'Steel Wing', 'Aerial Ace', 'Brave Bird', 'Drill Peck', 'Air Cutter']"
086,Seel,Water,,Kanto,85,121,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Ice Shard', 'Lick', 'Water Gun', 'Aqua Tail', 'Aurora Beam', 'Icy Wind', 'Aqua Jet']"
